========== Coverage for /home/user/nova-civilizational-architecture/ ===========
----------------------------------- Summary ------------------------------------
| Name                                                                                       | Total | Miss | Cover | Cover% |
|--------------------------------------------------------------------------------------------|-------|------|-------|--------|
| orchestrator/__init__.py                                                                   |     1 |    0 |     1 |   100% |
| orchestrator/adaptive_connections.py                                                       |    19 |    2 |    17 |    89% |
| orchestrator/adaptive_wisdom_poller.py                                                     |    13 |    0 |    13 |   100% |
| orchestrator/anr_mutex.py                                                                  |    13 |    1 |    12 |    92% |
| orchestrator/app.py                                                                        |    23 |    7 |    16 |    70% |
| orchestrator/arc.py                                                                        |     5 |    2 |     3 |    60% |
| orchestrator/bus.py                                                                        |     8 |    4 |     4 |    50% |
| orchestrator/config.py                                                                     |     2 |    1 |     1 |    50% |
| orchestrator/federation_client.py                                                          |     5 |    1 |     4 |    80% |
| orchestrator/federation_health.py                                                          |     4 |    1 |     3 |    75% |
| orchestrator/federation_poller.py                                                          |    21 |   18 |     3 |    14% |
| orchestrator/federation_remediator.py                                                      |    13 |   10 |     3 |    23% |
| orchestrator/federation_synchronizer.py                                                    |    19 |    0 |    19 |   100% |
| orchestrator/flow_fabric_init.py                                                           |     5 |    0 |     5 |   100% |
| orchestrator/flow_metrics.py                                                               |     8 |    1 |     7 |    88% |
| orchestrator/health.py                                                                     |     9 |    0 |     9 |   100% |
| orchestrator/health_pulse.py                                                               |     8 |    0 |     8 |   100% |
| orchestrator/http_metrics.py                                                               |     2 |    0 |     2 |   100% |
| orchestrator/ledger_reader.py                                                              |     2 |    0 |     2 |   100% |
| orchestrator/lock.py                                                                       |     4 |    1 |     3 |    75% |
| orchestrator/metrics.py                                                                    |    10 |    1 |     9 |    90% |
| orchestrator/mirror_utils.py                                                               |     4 |    0 |     4 |   100% |
| orchestrator/peer_store_singleton.py                                                       |     3 |    0 |     3 |   100% |
| orchestrator/phase10_manager.py                                                            |     5 |    0 |     5 |   100% |
| orchestrator/prometheus_metrics.py                                                         |    10 |    1 |     9 |    90% |
| orchestrator/reality_verifier.py                                                           |     4 |    1 |     3 |    75% |
| orchestrator/recovery.py                                                                   |     2 |    1 |     1 |    50% |
| orchestrator/reflection.py                                                                 |     5 |    0 |     5 |   100% |
| orchestrator/reflex_signals.py                                                             |    15 |    1 |    14 |    93% |
| orchestrator/rri.py                                                                        |     6 |    3 |     3 |    50% |
| orchestrator/semantic_creativity.py                                                        |    25 |    1 |    24 |    96% |
| orchestrator/semantic_mirror.py                                                            |    29 |    1 |    28 |    97% |
| orchestrator/semantic_mirror_setup.py                                                      |     7 |    0 |     7 |   100% |
| orchestrator/simulate_agents.py                                                            |    13 |    1 |    12 |    92% |
| orchestrator/unlearn_weighting.py                                                          |     9 |    0 |     9 |   100% |
| orchestrator/adapters/__init__.py                                                          |     1 |    1 |     0 |     0% |
| orchestrator/adapters/enhanced_slot5_constellation.py                                      |    11 |    2 |     9 |    82% |
| orchestrator/adapters/registry.py                                                          |     7 |    2 |     5 |    71% |
| orchestrator/adapters/slot10_civilizational.py                                             |     4 |    3 |     1 |    25% |
| orchestrator/adapters/slot1_truth_anchor.py                                                |    11 |    5 |     6 |    55% |
| orchestrator/adapters/slot2_deltathresh.py                                                 |     6 |    4 |     2 |    33% |
| orchestrator/adapters/slot3_emotional.py                                                   |     7 |    2 |     5 |    71% |
| orchestrator/adapters/slot4_tri.py                                                         |     8 |    3 |     5 |    62% |
| orchestrator/adapters/slot5_constellation.py                                               |     8 |    2 |     6 |    75% |
| orchestrator/adapters/slot6_cultural.py                                                    |     8 |    6 |     2 |    25% |
| orchestrator/adapters/slot7_production_controls.py                                         |     4 |    3 |     1 |    25% |
| orchestrator/adapters/slot8_memory_ethics.py                                               |    11 |   10 |     1 |     9% |
| orchestrator/adapters/slot9_distortion_protection.py                                       |     6 |    5 |     1 |    17% |
| orchestrator/contracts/__init__.py                                                         |     1 |    1 |     0 |     0% |
| orchestrator/contracts/decay.py                                                            |     3 |    0 |     3 |   100% |
| orchestrator/contracts/emitter.py                                                          |    15 |    5 |    10 |    67% |
| orchestrator/contracts/provenance.py                                                       |     5 |    0 |     5 |   100% |
| orchestrator/contracts/unlearn_pulse.py                                                    |     2 |    0 |     2 |   100% |
| orchestrator/core/__init__.py                                                              |    10 |    8 |     2 |    20% |
| orchestrator/core/circuit_breaker.py                                                       |     8 |    6 |     2 |    25% |
| orchestrator/core/event_bus.py                                                             |    14 |   11 |     3 |    21% |
| orchestrator/core/healthkit.py                                                             |     7 |    0 |     7 |   100% |
| orchestrator/core/performance_monitor.py                                                   |     8 |    8 |     0 |     0% |
| orchestrator/core/quantization.py                                                          |     7 |    1 |     6 |    86% |
| orchestrator/core/router.py                                                                |     5 |    1 |     4 |    80% |
| orchestrator/plugins/__init__.py                                                           |     1 |    0 |     1 |   100% |
| orchestrator/plugins/abc.py                                                                |     6 |    0 |     6 |   100% |
| orchestrator/plugins/filepython.py                                                         |     5 |    4 |     1 |    20% |
| orchestrator/plugins/loader.py                                                             |    11 |    2 |     9 |    82% |
| orchestrator/plugins/rest.py                                                               |     4 |    3 |     1 |    25% |
| orchestrator/router/__init__.py                                                            |     1 |    0 |     1 |   100% |
| orchestrator/router/anr.py                                                                 |    14 |    2 |    12 |    86% |
| orchestrator/router/anr_bandit.py                                                          |    13 |    1 |    12 |    92% |
| orchestrator/router/bandit.py                                                              |    12 |   10 |     2 |    17% |
| orchestrator/router/features.py                                                            |     6 |    0 |     6 |   100% |
| orchestrator/router/routes.py                                                              |    14 |    7 |     7 |    50% |
| orchestrator/routes/peer_sync.py                                                           |     5 |    0 |     5 |   100% |
| src/nova/__init__.py                                                                       |     1 |    1 |     0 |     0% |
| src/nova/adaptive_wisdom_core.py                                                           |    11 |    2 |     9 |    82% |
| src/nova/auth.py                                                                           |     2 |    1 |     1 |    50% |
| src/nova/belief_contracts.py                                                               |     7 |    1 |     6 |    86% |
| src/nova/bifurcation_monitor.py                                                            |     5 |    0 |     5 |   100% |
| src/nova/content_analysis.py                                                               |     3 |    1 |     2 |    67% |
| src/nova/logging_config.py                                                                 |     4 |    1 |     3 |    75% |
| src/nova/slot_loader.py                                                                    |     7 |    0 |     7 |   100% |
| src/nova/arc/analyze_results.py                                                            |    12 |    3 |     9 |    75% |
| src/nova/arc/reflection_engine.py                                                          |    30 |    6 |    24 |    80% |
| src/nova/arc/run_calibration_cycle.py                                                      |    13 |    2 |    11 |    85% |
| src/nova/config/__init__.py                                                                |     1 |    1 |     0 |     0% |
| src/nova/config/checkpoint_config.py                                                       |     2 |    0 |     2 |   100% |
| src/nova/config/federation_config.py                                                       |     5 |    4 |     1 |    20% |
| src/nova/config/flags.py                                                                   |     3 |    0 |     3 |   100% |
| src/nova/config/ledger_config.py                                                           |     3 |    0 |     3 |   100% |
| src/nova/config/pqc_config.py                                                              |     3 |    0 |     3 |   100% |
| src/nova/crypto/__init__.py                                                                |     1 |    0 |     1 |   100% |
| src/nova/crypto/pqc_keyring.py                                                             |    11 |    0 |    11 |   100% |
| src/nova/federation/__init__.py                                                            |     1 |    0 |     1 |   100% |
| src/nova/federation/discovery.py                                                           |    12 |    7 |     5 |    42% |
| src/nova/federation/federation_client.py                                                   |    14 |   12 |     2 |    14% |
| src/nova/federation/federation_server.py                                                   |    32 |   28 |     4 |    12% |
| src/nova/federation/metrics.py                                                             |     3 |    1 |     2 |    67% |
| src/nova/federation/mock_peer_service.py                                                   |     6 |    0 |     6 |   100% |
| src/nova/federation/peer_registry.py                                                       |    10 |    8 |     2 |    20% |
| src/nova/federation/range_proofs.py                                                        |     7 |    1 |     6 |    86% |
| src/nova/federation/receipts.py                                                            |     5 |    4 |     1 |    20% |
| src/nova/federation/schemas.py                                                             |    21 |    8 |    13 |    62% |
| src/nova/federation/sync.py                                                                |    10 |    6 |     4 |    40% |
| src/nova/federation/trust_model.py                                                         |     4 |    1 |     3 |    75% |
| src/nova/governor/__init__.py                                                              |     1 |    0 |     1 |   100% |
| src/nova/governor/adaptive_wisdom.py                                                       |     6 |    4 |     2 |    33% |
| src/nova/governor/state.py                                                                 |     9 |    0 |     9 |   100% |
| src/nova/ledger/__init__.py                                                                |     1 |    0 |     1 |   100% |
| src/nova/ledger/api.py                                                                     |     6 |    0 |     6 |   100% |
| src/nova/ledger/api_checkpoints.py                                                         |     8 |    2 |     6 |    75% |
| src/nova/ledger/canon.py                                                                   |     7 |    0 |     7 |   100% |
| src/nova/ledger/checkpoint_service.py                                                      |    11 |    1 |    10 |    91% |
| src/nova/ledger/checkpoint_signer.py                                                       |    10 |    1 |     9 |    90% |
| src/nova/ledger/checkpoint_types.py                                                        |     5 |    0 |     5 |   100% |
| src/nova/ledger/client.py                                                                  |     6 |    0 |     6 |   100% |
| src/nova/ledger/factory.py                                                                 |     3 |    1 |     2 |    67% |
| src/nova/ledger/id_gen.py                                                                  |     3 |    0 |     3 |   100% |
| src/nova/ledger/merkle.py                                                                  |     7 |    0 |     7 |   100% |
| src/nova/ledger/metrics.py                                                                 |     1 |    0 |     1 |   100% |
| src/nova/ledger/model.py                                                                   |     6 |    0 |     6 |   100% |
| src/nova/ledger/receipts_store.py                                                          |     6 |    3 |     3 |    50% |
| src/nova/ledger/store.py                                                                   |    17 |    0 |    17 |   100% |
| src/nova/ledger/store_postgres.py                                                          |    19 |    0 |    19 |   100% |
| src/nova/ledger/verify.py                                                                  |    12 |    0 |    12 |   100% |
| src/nova/math/relations_pattern.py                                                         |    21 |    2 |    19 |    90% |
| src/nova/metrics/__init__.py                                                               |     1 |    0 |     1 |   100% |
| src/nova/metrics/federation.py                                                             |    13 |   11 |     2 |    15% |
| src/nova/metrics/governor.py                                                               |     6 |    3 |     3 |    50% |
